Peak 1:,,,Peak 2:,
409.9572,0.40611,,,
409.9573,0.40591,,,
409.9574,0.40577,,,
409.9575,0.40587,,,
409.9576,0.40574,,,
409.9577,0.4062,,,
409.9578,0.4058,,,
409.9579,0.40586,,,
409.958,0.40576,,,
409.9581,0.40621,,,
409.9582,0.40599,,,
409.9583,0.40567,,,
409.9584,0.40604,,,
409.9585,0.40596,,,
409.9586,0.40542,,,
409.9587,0.40548,,,
409.9588,0.40585,,,
409.9589,0.40578,,,
409.959,0.40602,,,
409.9591,0.40596,,,
409.9592,0.40603,,,
409.9593,0.40626,,,
409.9594,0.40588,,,
409.9595,0.40616,,,
409.9596,0.4061,,,
409.9597,0.40563,,,
409.9598,0.40594,,,
409.9599,0.40615,,,
409.96,0.40594,,,
409.9601,0.40609,,,
409.9602,0.40571,,,
409.9603,0.40586,,,
409.9604,0.40594,,,
409.9605,0.40588,,,
409.9606,0.40597,,,
409.9607,0.40575,,,
409.9608,0.40604,,,
409.9609,0.40574,,,
409.961,0.40611,,,
409.9611,0.40631,,,
409.9612,0.40611,,,
409.9613,0.40605,,,
409.9614,0.40572,,,
409.9615,0.40593,,,
409.9616,0.40558,,,
409.9617,0.40631,,,
409.9618,0.40554,,,
409.9619,0.40581,,,
409.962,0.40586,,,
409.9621,0.40577,,,
409.9622,0.40561,,,
409.9623,0.40615,,,
409.9624,0.4056,,,
409.9625,0.4056,,,
409.9626,0.40535,,,
409.9627,0.40544,,,
409.9628,0.40563,,,
409.9629,0.40569,,,
409.963,0.40544,,,
409.9631,0.40615,,,
409.9632,0.40552,,,
409.9633,0.4053,,,
409.9634,0.40594,,,
409.9635,0.406,,,
409.9636,0.40611,,,
409.9637,0.40558,,,
409.9638,0.40602,,,
409.9639,0.40582,,,
409.964,0.40561,,,
409.9641,0.40554,,,
409.9642,0.40574,,,
409.9643,0.40548,,,
409.9644,0.40603,,,
409.9645,0.40597,,,
409.9646,0.40575,,,
409.9647,0.40555,,,
409.9648,0.40592,,,
409.9649,0.40577,,,
409.965,0.40578,,,
409.9651,0.40585,,,
409.9652,0.40571,,,
409.9653,0.40605,,,
409.9654,0.40558,,,
409.9655,0.40593,,,
409.9656,0.40578,,,
409.9657,0.40592,,,
409.9658,0.40603,,,
409.9659,0.40555,,,
409.966,0.40545,,,
409.9661,0.40574,,,
409.9662,0.40566,,,
409.9663,0.40553,,,
409.9664,0.40606,,,
409.9665,0.40563,,,
409.9666,0.40576,,,
409.9667,0.40576,,,
409.9668,0.40556,,,
409.9669,0.4055,,,
409.967,0.40556,,,
409.9671,0.4058,,,
409.9672,0.40542,,,
409.9673,0.40565,,,
409.9674,0.40544,,,
409.9675,0.40554,,,
409.9676,0.40559,,,
409.9677,0.40553,,,
409.9678,0.4056,,,
409.9679,0.40565,,,
409.968,0.40569,,,
409.9681,0.40558,,,
409.9682,0.4057,,,
409.9683,0.40564,,,
409.9684,0.40577,,,
409.9685,0.40564,,,
409.9686,0.40505,,,
409.9687,0.40558,,,
409.9688,0.40582,,,
409.9689,0.40588,,,
409.969,0.40582,,,
409.9691,0.40565,,,
409.9692,0.40592,,,
409.9693,0.40582,,,
409.9694,0.40528,,,
409.9695,0.40566,,,
409.9696,0.40558,,,
409.9697,0.40565,,,
409.9698,0.4058,,,
409.9699,0.40591,,,
409.97,0.40556,,,
