eta,Re1_c,Taylor,k_c
0.138,111.1007,18699.4438,3.30631
0.137,111.657,18925.7024,3.30711
0.136,112.2219,19156.6902,3.30791
0.135,112.7956,19392.5436,3.30872
0.134,113.3784,19633.4037,3.30953
0.133,113.9704,19879.4173,3.31034
0.132,114.5719,20130.7363,3.31116
0.131,115.1831,20387.5185,3.31198
0.13,115.8041,20649.9277,3.31281
0.129,116.4352,20918.1338,3.31364
0.128,117.0767,21192.3133,3.31447
0.127,117.7288,21472.6496,3.31531
0.126,118.3917,21759.3332,3.31615
0.125,119.0657,22052.5622,3.31699
0.124,119.7511,22352.5424,3.31784
0.123,120.4481,22659.4879,3.3187
0.122,121.1571,22973.6217,3.31955
0.121,121.8783,23295.1755,3.32041
0.12,122.612,23624.3908,3.32127
0.119,123.3586,23961.5188,3.32214
0.118,124.1183,24306.8216,3.32301
0.117,124.8915,24660.5721,3.32389
0.116,125.6785,25023.0547,3.32476
0.115,126.4798,25394.5663,3.32565
0.114,127.2957,25775.4164,3.32653
0.113,128.1265,26165.928,3.32742
0.112,128.9726,26566.4386,3.32832
0.111,129.8346,26977.3004,3.32921
0.11,130.7127,27398.8816,3.33011
0.109,131.6075,27831.5669,3.33102
0.108,132.5194,28275.7588,3.33193
0.107,133.4489,28731.8781,3.33284
0.106,134.3965,29200.3655,3.33375
0.105,135.3627,29681.6823,3.33467
0.104,136.3479,30176.3115,3.3356
0.103,137.3529,30684.7597,3.33653
0.102,138.3782,31207.5576,3.33746
0.101,139.4242,31745.2623,3.33839
